ICD_CODE,LONG_DESCRIPTION,CHARLSON_GROUP
C93.00,"Acute monoblastic/monocytic leukaemia, without mention of remission",CANCER
C93.01,"Acute monoblastic/monocytic leukaemia, in remission",CANCER
C93.10,"Chronic myelomonocytic leukaemia [CMML], without mention of remission",CANCER
C93.11,"Chronic myelomonocytic leukaemia [CMML], in remission",CANCER
C93.20,"Subacute monocytic leukaemia, without mention of remission",CANCER
C93.21,"Subacute monocytic leukaemia, in remission",CANCER
C93.70,"Other monocytic leukaemia, without mention of remission",CANCER
C93.71,"Other monocytic leukaemia, in remission",CANCER
C93.90,"Monocytic leukaemia, unspecified, without mention of remission",CANCER
C93.91,"Monocytic leukaemia, unspecified, in remission",CANCER
C94.00,"Acute erythroid leukaemia, without mention of remission",CANCER
C94.01,"Acute erythroid leukaemia, in remission",CANCER
C94.10,"Chronic erythraemia, without mention of remission",CANCER
C94.11,"Chronic erythraemia, in remission",CANCER
C94.20,"Acute megakaryoblastic leukaemia, without mention of remission",CANCER
C94.21,"Acute megakaryoblastic leukaemia, in remission",CANCER
C94.30,"Mast cell leukaemia, without mention of remission",CANCER
C94.31,"Mast cell leukaemia, in remission",CANCER
C94.40,"Acute panmyelosis with myelofibrosis, without mention of remission",CANCER
C94.41,"Acute panmyelosis with myelofibrosis, in remission",CANCER
C94.50,"Acute myelofibrosis, without mention of remission",CANCER
C94.51,"Acute myelofibrosis, in remission",CANCER
C94.70,"Other specified leukaemias, without mention of remission",CANCER
C94.71,"Other specified leukaemias, in remission",CANCER
C95.00,"Acute leukaemia of unspecified cell type, without mention of remission",CANCER
C95.01,"Acute leukaemia of unspecified cell type, in remission",CANCER
C95.10,"Chronic leukaemia of unspecified cell type, without mention of remission",CANCER
C95.11,"Chronic leukaemia of unspecified cell type, in remission",CANCER
C95.20,"Subacute leukaemia of unspecified cell type, without mention of remission",CANCER
C95.21,"Subacute leukaemia of unspecified cell type, in remission",CANCER
C95.70,"Other leukaemia of unspecified cell type, without mention of remission",CANCER
C95.71,"Other leukaemia of unspecified cell type, in remission",CANCER
C95.90,"Leukaemia, unspecified, without mention of remission",CANCER
C95.91,"Leukaemia, unspecified, in remission",CANCER
C96.0,Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis [Letterer-Siwe disease],CANCER
C96.1,Malignant histiocytosis,CANCER
C96.2,Malignant mast cell tumour,CANCER
C96.3,True histiocytic lymphoma,CANCER
C96.7,"Other specified malignant neoplasms of lymphoid, haematopoietic and related tissue",CANCER
C96.9,"Malignant neoplasm of lymphoid, haematopoietic and related tissue, unspecified",CANCER
E10.11,"Type 1 diabetes mellitus with ketoacidosis, without coma",DIABETES
E10.12,"Type 1 diabetes mellitus with ketoacidosis, with coma",DIABETES
E10.13,"Type 1 diabetes mellitus with lactic acidosis, without coma",DIABETES
E10.14,"Type 1 diabetes mellitus with lactic acidosis, with coma",DIABETES
E10.15,"Type 1 diabetes mellitus with ketoacidosis, with lactic acidosis, without coma",DIABETES
E10.16,"Type 1 diabetes mellitus with ketoacidosis, with lactic acidosis, with coma",DIABETES
E10.20,"Type 1 diabetes mellitus with renal complication, unspecified",DIABETES_COMPLICATIONS
E10.21,Type 1 diabetes mellitus with incipient diabetic nephropathy,DIABETES_COMPLICATIONS
E10.22,Type 1 diabetes mellitus with established diabetic nephropathy,DIABETES_COMPLICATIONS
E10.23,Type 1 diabetes mellitus with advanced renal disease,DIABETES_COMPLICATIONS
E10.29,Type 1 diabetes mellitus with other specified kidney complication,DIABETES_COMPLICATIONS
E10.30,"Type 1 diabetes mellitus with ophthalmic complication, unspecified",DIABETES_COMPLICATIONS
E10.31,Type 1 diabetes mellitus with background retinopathy,DIABETES_COMPLICATIONS
E10.32,Type 1 diabetes mellitus with preproliferative retinopathy,DIABETES_COMPLICATIONS
E10.33,Type 1 diabetes mellitus with proliferative retinopathy,DIABETES_COMPLICATIONS
E10.34,Type 1 diabetes mellitus with other retinopathy,DIABETES_COMPLICATIONS
E10.35,Type 1 diabetes mellitus with advanced ophthalmic disease,DIABETES_COMPLICATIONS
E10.36,Type 1 diabetes mellitus with diabetic cataract,DIABETES_COMPLICATIONS
E10.39,Type 1 diabetes mellitus with other specified ophthalmic complication,DIABETES_COMPLICATIONS
E10.41,Type 1 diabetes mellitus with diabetic mononeuropathy,DIABETES_COMPLICATIONS
E10.42,Type 1 diabetes mellitus with diabetic polyneuropathy,DIABETES_COMPLICATIONS
E10.43,Type 1 diabetes mellitus with diabetic autonomic neuropathy,DIABETES_COMPLICATIONS
E10.49,Type 1 diabetes mellitus with other specified neurological complication,DIABETES_COMPLICATIONS
E10.50,"Type 1 diabetes mellitus with circulatory complication, unspecified",DIABETES_COMPLICATIONS
E10.51,"Type 1 diabetes mellitus with peripheral angiopathy, without gangrene",DIABETES_COMPLICATIONS
E10.52,"Type 1 diabetes mellitus with peripheral angiopathy, with gangrene",DIABETES_COMPLICATIONS
E10.53,Type 1 diabetes mellitus with diabetic cardiomyopathy,DIABETES_COMPLICATIONS
E10.59,Type 1 diabetes mellitus with other specified circulatory complication,DIABETES_COMPLICATIONS
E10.64,Type 1 diabetes mellitus with hypoglycaemia,DIABETES
E10.65,Type 1 diabetes mellitus with poor control,DIABETES
E10.69,Type 1 diabetes mellitus with other specified complication,DIABETES
E10.71,Type 1 diabetes mellitus with multiple microvascular and other specified nonvascular complications,DIABETES_COMPLICATIONS
E10.73,Type 1 diabetes mellitus with foot ulcer due to multiple causes,DIABETES_COMPLICATIONS
E10.8,Type 1 diabetes mellitus with unspecified complication,DIABETES
E10.9,Type 1 diabetes mellitus without complication,DIABETES
E11.01,Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycaemic-hyperosmolar coma [NKHHC],DIABETES
E11.02,Type 2 diabetes mellitus with hyperosmolarity with coma,DIABETES
E11.11,"Type 2 diabetes mellitus with ketoacidosis, without coma",DIABETES
E11.12,"Type 2 diabetes mellitus with ketoacidosis, with coma",DIABETES
E11.13,"Type 2 diabetes mellitus with lactic acidosis, without coma",DIABETES
E11.14,"Type 2 diabetes mellitus with lactic acidosis, with coma",DIABETES
E11.15,"Type 2 diabetes mellitus with ketoacidosis, with lactic acidosis, without coma",DIABETES
E11.16,"Type 2 diabetes mellitus with ketoacidosis, with lactic acidosis, with coma",DIABETES
E11.20,"Type 2 diabetes mellitus with renal complication, unspecified",DIABETES_COMPLICATIONS
E11.21,Type 2 diabetes mellitus with incipient diabetic nephropathy,DIABETES_COMPLICATIONS
E11.22,Type 2 diabetes mellitus with established diabetic nephropathy,DIABETES_COMPLICATIONS
E11.23,Type 2 diabetes mellitus with advanced renal disease,DIABETES_COMPLICATIONS
E11.29,Type 2 diabetes mellitus with other specified kidney complication,DIABETES_COMPLICATIONS
E11.30,"Type 2 diabetes mellitus with ophthalmic complication, unspecified",DIABETES_COMPLICATIONS
E11.31,Type 2 diabetes mellitus with background retinopathy,DIABETES_COMPLICATIONS
E11.32,Type 2 diabetes mellitus with preproliferative retinopathy,DIABETES_COMPLICATIONS
E11.33,Type 2 diabetes mellitus with proliferative retinopathy,DIABETES_COMPLICATIONS
E11.34,Type 2 diabetes mellitus with other retinopathy,DIABETES_COMPLICATIONS
E11.35,Type 2 diabetes mellitus with advanced ophthalmic disease,DIABETES_COMPLICATIONS
E11.36,Type 2 diabetes mellitus with diabetic cataract,DIABETES_COMPLICATIONS
E11.39,Type 2 diabetes mellitus with other specified ophthalmic complication,DIABETES_COMPLICATIONS
E11.41,Type 2 diabetes mellitus with diabetic mononeuropathy,DIABETES_COMPLICATIONS
E11.42,Type 2 diabetes mellitus with diabetic polyneuropathy,DIABETES_COMPLICATIONS
E11.43,Type 2 diabetes mellitus with diabetic autonomic neuropathy,DIABETES_COMPLICATIONS
E11.49,Type 2 diabetes mellitus with other specified neurological complication,DIABETES_COMPLICATIONS
E11.50,"Type 2 diabetes mellitus with circulatory complication, unspecified",DIABETES_COMPLICATIONS
E11.51,"Type 2 diabetes mellitus with peripheral angiopathy, without gangrene",DIABETES_COMPLICATIONS
E11.52,"Type 2 diabetes mellitus with peripheral angiopathy, with gangrene",DIABETES_COMPLICATIONS
E11.53,Type 2 diabetes mellitus with diabetic cardiomyopathy,DIABETES_COMPLICATIONS
E11.59,Type 2 diabetes mellitus with other specified circulatory complication,DIABETES_COMPLICATIONS
E11.64,Type 2 diabetes mellitus with hypoglycaemia,DIABETES
E11.65,Type 2 diabetes mellitus with poor control,DIABETES
E11.69,Type 2 diabetes mellitus with other specified complication,DIABETES
E11.71,Type 2 diabetes mellitus with multiple microvascular and other specified nonvascular complications,DIABETES_COMPLICATIONS
E11.72,Type 2 diabetes mellitus with features of insulin resistance,DIABETES_COMPLICATIONS
E11.73,Type 2 diabetes mellitus with foot ulcer due to multiple causes,DIABETES_COMPLICATIONS
E11.8,Type 2 diabetes mellitus with unspecified complication,DIABETES
E11.9,Type 2 diabetes mellitus without complication,DIABETES
E13.02,"Other specified diabetes mellitus with hyperosmolarity, with coma",DIABETES
E13.12,"Other specified diabetes mellitus with ketoacidosis, with coma",DIABETES
E13.13,"Other specified diabetes mellitus with lactic acidosis, without coma",DIABETES
E13.14,"Other specified diabetes mellitus with lactic acidosis, with coma",DIABETES
E13.15,"Other specified diabetes mellitus with ketoacidosis, with lactic acidosis, without coma",DIABETES
E13.16,"Other specified diabetes mellitus with ketoacidosis, with lactic acidosis, with coma",DIABETES
E13.20,"Other specified diabetes mellitus with renal complication, unspecified",DIABETES_COMPLICATIONS
E13.22,Other specified diabetes mellitus with established diabetic nephropathy,DIABETES_COMPLICATIONS
E13.23,Other specified diabetes mellitus with advanced renal disease,DIABETES_COMPLICATIONS
E13.29,Other specified diabetes mellitus with other specified kidney complication,DIABETES_COMPLICATIONS
E13.30,"Other specified diabetes mellitus with ophthalmic complication, unspecified",DIABETES_COMPLICATIONS
E13.32,Other specified diabetes mellitus with preproliferative retinopathy,DIABETES_COMPLICATIONS
E13.33,Other specified diabetes mellitus with proliferative retinopathy,DIABETES_COMPLICATIONS
E13.34,Other specified diabetes mellitus with other retinopathy,DIABETES_COMPLICATIONS
E13.35,Other specified diabetes mellitus with advanced ophthalmic disease,DIABETES_COMPLICATIONS
E13.36,Other specified diabetes mellitus with diabetic cataract,DIABETES_COMPLICATIONS
E13.39,Other specified diabetes mellitus with other specified ophthalmic complication,DIABETES_COMPLICATIONS
E13.42,Other specified diabetes mellitus with diabetic polyneuropathy,DIABETES_COMPLICATIONS
E13.43,Other specified diabetes mellitus with diabetic autonomic neuropathy,DIABETES_COMPLICATIONS
E13.49,Other specified diabetes mellitus with other specified neurological complication,DIABETES_COMPLICATIONS
E13.50,"Other specified diabetes mellitus with circulatory complication, unspecified",DIABETES_COMPLICATIONS
E13.52,"Other specified diabetes mellitus with peripheral angiopathy, with gangrene",DIABETES_COMPLICATIONS
E13.53,Other specified diabetes mellitus with diabetic cardiomyopathy,DIABETES_COMPLICATIONS
E13.59,Other specified diabetes mellitus with other specified circulatory complication,DIABETES_COMPLICATIONS
E13.64,Other specified diabetes mellitus with hypoglycaemia,DIABETES
E13.65,Other specified diabetes mellitus with poor control,DIABETES
E13.69,Other specified diabetes mellitus with other specified complication,DIABETES
E13.72,Other specified diabetes mellitus with features of insulin resistance,DIABETES_COMPLICATIONS
E13.73,Other specified diabetes mellitus with foot ulcer due to multiple causes,DIABETES_COMPLICATIONS
E13.8,Other specified diabetes mellitus with unspecified complication,DIABETES
E13.9,Other specified diabetes mellitus without complication,DIABETES
E14.02,"Unspecified diabetes mellitus with hyperosmolarity, with coma",DIABETES
E14.12,"Unspecified diabetes mellitus with ketoacidosis, with coma",DIABETES
E14.13,"Unspecified diabetes mellitus with lactic acidosis, without coma",DIABETES
E14.14,"Unspecified diabetes mellitus with lactic acidosis, with coma",DIABETES
E14.15,"Unspecified diabetes mellitus with ketoacidosis, with lactic acidosis, without coma",DIABETES
E14.16,"Unspecified diabetes mellitus with ketoacidosis, with lactic acidosis, with coma",DIABETES
E14.20,"Unspecified diabetes mellitus with renal complication, unspecified",DIABETES_COMPLICATIONS
E14.22,Unspecified diabetes mellitus with established diabetic nephropathy,DIABETES_COMPLICATIONS
E14.23,Unspecified diabetes mellitus with advanced renal disease,DIABETES_COMPLICATIONS
E14.29,Unspecified diabetes mellitus with other specified kidney complication,DIABETES_COMPLICATIONS
E14.30,"Unspecified diabetes mellitus with ophthalmic complication, unspecified",DIABETES_COMPLICATIONS
E14.32,Unspecified diabetes mellitus with preproliferative retinopathy,DIABETES_COMPLICATIONS
E14.33,Unspecified diabetes mellitus with proliferative retinopathy,DIABETES_COMPLICATIONS
E14.34,Unspecified diabetes mellitus with other retinopathy,DIABETES_COMPLICATIONS
E14.35,Unspecified diabetes mellitus with advanced ophthalmic disease,DIABETES_COMPLICATIONS
E14.36,Unspecified diabetes mellitus with diabetic cataract,DIABETES_COMPLICATIONS
E14.39,Unspecified diabetes mellitus with other specified ophthalmic complication,DIABETES_COMPLICATIONS
E14.42,Unspecified diabetes mellitus with diabetic polyneuropathy,DIABETES_COMPLICATIONS
E14.43,Unspecified diabetes mellitus with diabetic autonomic neuropathy,DIABETES_COMPLICATIONS
E14.49,Unspecified diabetes mellitus with other specified neurological complication,DIABETES_COMPLICATIONS
E14.50,"Unspecified diabetes mellitus with circulatory complication, unspecified",DIABETES_COMPLICATIONS
E14.52,"Unspecified diabetes mellitus with peripheral angiopathy, with gangrene",DIABETES_COMPLICATIONS
E14.53,Unspecified diabetes mellitus with diabetic cardiomyopathy,DIABETES_COMPLICATIONS
E14.59,Unspecified diabetes mellitus with other specified circulatory complication,DIABETES_COMPLICATIONS
E14.64,Unspecified diabetes mellitus with hypoglycaemia,DIABETES
E14.65,Unspecified diabetes mellitus with poor control,DIABETES
E14.69,Unspecified diabetes mellitus with other specified complication,DIABETES
E14.72,Unspecified diabetes mellitus with features of insulin resistance,DIABETES_COMPLICATIONS
E14.73,Unspecified diabetes mellitus with foot ulcer due to multiple causes,DIABETES_COMPLICATIONS
E14.8,Unspecified diabetes mellitus with unspecified complication,DIABETES
E14.9,Unspecified diabetes mellitus without complication,DIABETES
F00.0,Dementia in Alzheimer's disease with early onset (G30.0+),DEMENTIA
F00.1,Dementia in Alzheimer's disease with late onset (G30.1+),DEMENTIA
F00.2,"Dementia in Alzheimer's disease, atypical or mixed type (G30.8+)",DEMENTIA
F00.9,"Dementia in Alzheimer's disease, unspecified (G30.9+)",DEMENTIA
F01.0,Vascular dementia of acute onset,DEMENTIA
F01.1,Multi-infarct dementia,DEMENTIA
F01.2,Subcortical vascular dementia,DEMENTIA
F01.3,Mixed cortical and subcortical vascular dementia,DEMENTIA
F01.8,Other vascular dementia,DEMENTIA
F01.9,"Vascular dementia, unspecified",DEMENTIA
F02.0,Dementia in Pick's disease (G31.0+),DEMENTIA
F02.1,Dementia in Creutzfeldt-Jakob disease (A81.0+),DEMENTIA
F02.2,Dementia in Huntington's disease (G10+),DEMENTIA
F02.3,Dementia in Parkinson's disease (G20+),DEMENTIA
F02.4,Dementia in human immunodeficiency virus [HIV] disease (B22+),DEMENTIA
F02.8,Dementia in other specified diseases classified elsewhere,DEMENTIA
F03.,Unspecified dementia,DEMENTIA
F05.1,Delirium superimposed on dementia,DEMENTIA
G04.1,Human T-cell lymphotrophic virus associated myelopathy,HEMIPLEGIA
G11.4,Hereditary spastic paraplegia,HEMIPLEGIA
G30.0,Alzheimer's disease with early onset,DEMENTIA
G30.1,Alzheimer's disease with late onset,DEMENTIA
G30.8,Other Alzheimer's disease,DEMENTIA
G30.9,"Alzheimer's disease, unspecified",DEMENTIA
G31.1,"Senile degeneration of brain, not elsewhere classified",DEMENTIA
G45.0,Vertebro-basilar artery syndrome,CVD
G45.1,Carotid artery syndrome (hemispheric),CVD
G45.2,Multiple and bilateral precerebral artery syndromes,CVD
G45.3,Amaurosis fugax,CVD
G45.4,Transient global amnesia,CVD
G45.8,Other transient cerebral ischaemic attacks and related syndromes,CVD
G45.9,"Transient cerebral ischaemic attack, unspecified",CVD
G46.,Vascular syndromes of brain in cerebrovascular diseases (I60-I67+),CVD
G46.0,Middle cerebral artery syndrome (I66.0+),CVD
G46.1,Anterior cerebral artery syndrome (I66.1+),CVD
G46.2,Posterior cerebral artery syndrome (I66.2+),CVD
G46.3,Brain stem stroke syndrome (I60-I67+),CVD
G46.4,Cerebellar stroke syndrome (I60-I67+),CVD
G46.5,Pure motor lacunar syndrome (I60-I67+),CVD
G46.6,Pure sensory lacunar syndrome (I60-I67+),CVD
G46.7,Other lacunar syndromes (I60-I67+),CVD
G46.8,Other vascular syndromes of brain in cerebrovascular diseases (I60-I67+),CVD
G80.01,Spastic diplegic cerebral palsy,HEMIPLEGIA
G80.02,Spastic hemiplegic cerebral palsy,HEMIPLEGIA
G81.0,Flaccid hemiplegia,HEMIPLEGIA
G81.1,Spastic hemiplegia,HEMIPLEGIA
G81.9,"Hemiplegia, unspecified",HEMIPLEGIA
G82.00,"Flaccid paraplegia, unspecified",HEMIPLEGIA
G82.01,"Flaccid paraplegia, unspecified, acute",HEMIPLEGIA
G82.02,"Flaccid paraplegia, unspecified, chronic",HEMIPLEGIA
G82.03,"Flaccid paraplegia, complete, acute",HEMIPLEGIA
G82.04,"Flaccid paraplegia, complete, chronic",HEMIPLEGIA
G82.05,"Flaccid paraplegia, incomplete, acute",HEMIPLEGIA
G82.06,"Flaccid paraplegia, incomplete, chronic",HEMIPLEGIA
G82.10,"Spastic paraplegia, unspecified",HEMIPLEGIA
G82.11,"Spastic paraplegia, unspecified, acute",HEMIPLEGIA
G82.12,"Spastic paraplegia, unspecified chronic",HEMIPLEGIA
G82.13,"Spastic paraplegia, complete, acute",HEMIPLEGIA
G82.14,"Spastic paraplegia, complete, chronic",HEMIPLEGIA
G82.15,"Spastic paraplegia, incomplete, acute",HEMIPLEGIA
G82.16,"Spastic paraplegia, incomplete, chronic",HEMIPLEGIA
G82.20,"Paraplegia, unspecified, unspecified",HEMIPLEGIA
G82.21,"Paraplegia, unspecified, acute",HEMIPLEGIA
G82.22,"Paraplegia, unspecified, chronic",HEMIPLEGIA
G82.23,"Paraplegia, unspecified, complete, acute",HEMIPLEGIA
G82.24,"Paraplegia, unspecified, complete, chronic",HEMIPLEGIA
G82.25,"Paraplegia, unspecified, incomplete, acute",HEMIPLEGIA
G82.26,"Paraplegia, unspecified, incomplete, chronic",HEMIPLEGIA
G82.30,"Flaccid tetraplegia, unspecified",HEMIPLEGIA
G82.31,"Flaccid tetraplegia, unspecified, acute",HEMIPLEGIA
G82.32,"Flaccid tetraplegia, unspecified, chronic",HEMIPLEGIA
G82.33,"Flaccid tetraplegia, complete, acute",HEMIPLEGIA
G82.34,"Flaccid tetraplegia, complete, chronic",HEMIPLEGIA
G82.35,"Flaccid tetraplegia, incomplete, acute",HEMIPLEGIA
G82.36,"Flaccid tetraplegia, incomplete, chronic",HEMIPLEGIA
G82.40,"Spastic tetraplegia, unspecified",HEMIPLEGIA
G82.41,"Spastic tetraplegia, unspecified, acute",HEMIPLEGIA
G82.42,"Spastic tetraplegia, unspecified, chronic",HEMIPLEGIA
G82.43,"Spastic tetraplegia, complete, acute",HEMIPLEGIA
G82.44,"Spastic tetraplegia, complete, chronic",HEMIPLEGIA
G82.45,"Spastic tetraplegia, incomplete, acute",HEMIPLEGIA
G82.46,"Spastic tetraplegia, incomplete, chronic",HEMIPLEGIA
G82.50,"Tetraplegia, unspecified, unspecified",HEMIPLEGIA
G82.51,"Tetraplegia, unspecified, acute",HEMIPLEGIA
G82.52,"Tetraplegia, unspecified, chronic",HEMIPLEGIA
G82.53,"Tetraplegia, unspecified, complete, acute",HEMIPLEGIA
G82.54,"Tetraplegia, unspecified, complete, chronic",HEMIPLEGIA
G82.55,"Tetraplegia, unspecified, incomplete, acute",HEMIPLEGIA
G82.56,"Tetraplegia, unspecified, incomplete, chronic",HEMIPLEGIA
G83.0,Diplegia of upper limbs,HEMIPLEGIA
G83.1,Monoplegia of lower limb,HEMIPLEGIA
G83.2,Monoplegia of upper limb,HEMIPLEGIA
G83.3,"Monoplegia, unspecified",HEMIPLEGIA
G83.4,Cauda equina syndrome,HEMIPLEGIA
G83.9,"Paralytic syndrome, unspecified",HEMIPLEGIA
H34.0,Transient retinal artery occlusion,CVD
I09.9,"Rheumatic heart disease, unspecified",CHF
I11.0,Hypertensive heart disease with (congestive) heart failure,CHF
I12.0,Hypertensive kidney disease with kidney failure,RENAL_DISEASE
I13.0,Hypertensive heart and kidney disease with (congestive) heart failure,CHF
I13.1,Hypertensive heart and kidney disease with kidney failure,RENAL_DISEASE
I13.2,Hypertensive heart and kidney disease with both (congestive) heart failure and kidney failure,CHF
I21.0,Acute transmural myocardial infarction of anterior wall,AMI
I21.1,Acute transmural myocardial infarction of inferior wall,AMI
I21.2,Acute transmural myocardial infarction of other sites,AMI
I21.3,Acute transmural myocardial infarction of unspecified site,AMI
I21.4,Acute subendocardial myocardial infarction,AMI
I21.9,"Acute myocardial infarction, unspecified",AMI
I22.0,Subsequent myocardial infarction of anterior wall,AMI
I22.1,Subsequent myocardial infarction of inferior wall,AMI
I22.8,Subsequent myocardial infarction of other sites,AMI
I22.9,Subsequent myocardial infarction of unspecified site,AMI
I25.2,Old myocardial infarction,AMI
I25.5,Ischaemic cardiomyopathy,CHF
I27.8,Other specified pulmonary heart diseases,PULMONARY_DISEASE
I27.9,"Pulmonary heart disease, unspecified",PULMONARY_DISEASE
I42.0,Dilated cardiomyopathy,CHF
I42.5,Other restrictive cardiomyopathy,CHF
I42.6,Alcoholic cardiomyopathy,CHF
I42.7,Cardiomyopathy due to drugs and other external agents,CHF
I42.8,Other cardiomyopathies,CHF
I42.9,"Cardiomyopathy, unspecified",CHF
I43.0,Cardiomyopathy in infectious and parasitic diseases classified elsewhere,CHF
I43.1,Cardiomyopathy in metabolic diseases,CHF
I43.2,Cardiomyopathy in nutritional diseases,CHF
I43.8,Cardiomyopathy in other diseases classified elsewhere,CHF
I50.0,Congestive heart failure,CHF
I50.1,Left ventricular failure,CHF
I50.9,"Heart failure, unspecified",CHF
I60.0,Subarachnoid haemorrhage from carotid siphon and bifurcation,CVD
I60.1,Subarachnoid haemorrhage from middle cerebral artery,CVD
I60.2,Subarachnoid haemorrhage from anterior communicating artery,CVD
I60.3,Subarachnoid haemorrhage from posterior communicating artery,CVD
I60.4,Subarachnoid haemorrhage from basilar artery,CVD
I60.5,Subarachnoid haemorrhage from vertebral artery,CVD
I60.6,Subarachnoid haemorrhage from other intracranial arteries,CVD
I60.7,"Subarachnoid haemorrhage from intracranial artery, unspecified",CVD
I60.8,Other subarachnoid haemorrhage,CVD
I60.9,"Subarachnoid haemorrhage, unspecified",CVD
I61.0,"Intracerebral haemorrhage in hemisphere, subcortical",CVD
I61.1,"Intracerebral haemorrhage in hemisphere, cortical",CVD
I61.2,"Intracerebral haemorrhage in hemisphere, unspecified",CVD
I61.3,Intracerebral haemorrhage in brain stem,CVD
I61.4,Intracerebral haemorrhage in cerebellum,CVD
I61.5,"Intracerebral haemorrhage, intraventricular",CVD
I61.6,"Intracerebral haemorrhage, multiple localised",CVD
I61.8,Other intracerebral haemorrhage,CVD
I61.9,"Intracerebral haemorrhage, unspecified",CVD
I62.0,Nontraumatic subdural haemorrhage,CVD
I62.1,Nontraumatic extradural haemorrhage,CVD
I62.9,"Intracranial haemorrhage (nontraumatic), unspecified",CVD
I63.0,Cerebral infarction due to thrombosis of precerebral arteries,CVD
I63.1,Cerebral infarction due to embolism of precerebral arteries,CVD
I63.2,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,CVD
I63.3,Cerebral infarction due to thrombosis of cerebral arteries,CVD
I63.4,Cerebral infarction due to embolism of cerebral arteries,CVD
I63.5,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,CVD
I63.6,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic",CVD
I63.8,Other cerebral infarction,CVD
I63.9,"Cerebral infarction, unspecified",CVD
I64.,"Stroke, not specified as haemorrhage or infarction",CVD
I65.0,Occlusion and stenosis of vertebral artery,CVD
I65.1,Occlusion and stenosis of basilar artery,CVD
I65.2,Occlusion and stenosis of carotid artery,CVD
I65.3,Occlusion and stenosis of multiple and bilateral precerebral arteries,CVD
I65.8,Occlusion and stenosis of other precerebral artery,CVD
I65.9,Occlusion and stenosis of unspecified precerebral artery,CVD
I66.0,Occlusion and stenosis of middle cerebral artery,CVD
I66.1,Occlusion and stenosis of anterior cerebral artery,CVD
I66.2,Occlusion and stenosis of posterior cerebral artery,CVD
I66.3,Occlusion and stenosis of cerebellar arteries,CVD
I66.4,Occlusion and stenosis of multiple and bilateral cerebral arteries,CVD
I66.8,Occlusion and stenosis of other cerebral artery,CVD
I66.9,Occlusion and stenosis of unspecified cerebral artery,CVD
I67.0,"Dissection of cerebral arteries, nonruptured",CVD
I67.1,"Cerebral aneurysm, nonruptured",CVD
I67.2,Cerebral atherosclerosis,CVD
I67.3,Progressive vascular leukoencephalopathy,CVD
I67.4,Hypertensive encephalopathy,CVD
I67.5,Moyamoya disease,CVD
I67.6,Nonpyogenic thrombosis of intracranial venous system,CVD
I67.7,"Cerebral arteritis, not elsewhere classified",CVD
I67.8,Other specified cerebrovascular diseases,CVD
I67.9,"Cerebrovascular disease, unspecified",CVD
I68.0,Cerebral amyloid angiopathy (E85.-+),CVD
I68.1,Cerebral arteritis in infectious and parasitic diseases classified elsewhere,CVD
I68.2,Cerebral arteritis in other diseases classified elsewhere,CVD
I68.8,Other cerebrovascular disorders in diseases classified elsewhere,CVD
I69.0,Sequelae of subarachnoid haemorrhage,CVD
I69.1,Sequelae of intracerebral haemorrhage,CVD
I69.2,Sequelae of other nontraumatic intracranial haemorrhage,CVD
I69.3,Sequelae of cerebral infarction,CVD
I69.4,"Sequelae of stroke, not specified as haemorrhage or infarction",CVD
I69.8,Sequelae of other and unspecified cerebrovascular diseases,CVD
I70.0,Atherosclerosis of aorta,PVD
I70.1,Atherosclerosis of renal artery,PVD
I70.20,"Atherosclerosis of arteries of extremities, unspecified",PVD
I70.21,Atherosclerosis of arteries of extremities with intermittent claudication,PVD
I70.22,Atherosclerosis of arteries of extremities with rest pain,PVD
I70.23,Atherosclerosis of arteries of extremities with ulceration,PVD
I70.24,Atherosclerosis of arteries of extremities with gangrene,PVD
I70.8,Atherosclerosis of other arteries,PVD
I70.9,Generalised and unspecified atherosclerosis,PVD
I71.00,"Dissection of aorta, unspecified site",PVD
I71.01,Dissection of thoracic aorta,PVD
I71.02,Dissection of abdominal aorta,PVD
I71.03,Dissection of thoracoabdominal aorta,PVD
I71.1,"Thoracic aortic aneurysm, ruptured",PVD
I71.2,"Thoracic aortic aneurysm, without mention of rupture",PVD
I71.3,"Abdominal aortic aneurysm, ruptured",PVD
I71.4,"Abdominal aortic aneurysm, without mention of rupture",PVD
I71.5,"Thoracoabdominal aortic aneurysm, ruptured",PVD
I71.6,"Thoracoabdominal aortic aneurysm, without mention of rupture",PVD
I71.8,"Aortic aneurysm of unspecified site, ruptured",PVD
I71.9,"Aortic aneurysm of unspecified site, without mention of rupture",PVD
I73.1,Thromboangiitis obliterans [Buerger],PVD
I73.8,Other specified peripheral vascular diseases,PVD
I73.9,"Peripheral vascular disease, unspecified",PVD
I77.1,Stricture of artery,PVD
I79.0,Aneurysm of aorta in diseases classified elsewhere,PVD
I79.2,Peripheral angiopathy in diseases classified elsewhere,PVD
I85.0,Oesophageal varices with bleeding,SEVERE_LIVER_DISEASE
I85.9,Oesophageal varices without bleeding,SEVERE_LIVER_DISEASE
I86.4,Gastric varices,SEVERE_LIVER_DISEASE
I98.2,Oesophageal varices without mention of bleeding in diseases classified elsewhere,SEVERE_LIVER_DISEASE
